timestamp,x,y,z
2025-03-19T16:10:58.513720,-0.61,0.18,0.18
2025-03-19T16:10:59.009175,-0.43,0.24,0.31
2025-03-19T16:10:59.532455,-0.55,0.18,0.31
2025-03-19T16:11:00.444795,-0.49,0.18,0.24
2025-03-19T16:11:00.762628,-0.43,0.18,0.31
2025-03-19T16:11:01.069018,-0.55,0.18,0.31
2025-03-19T16:11:01.575258,-0.18,0.18,0.31
2025-03-19T16:11:02.103868,-0.43,0.18,0.24
2025-03-19T16:11:02.596805,-0.37,0.18,0.37
2025-03-19T16:11:03.127063,-0.43,0.18,0.24
2025-03-19T16:11:03.619237,-0.24,0.18,0.31
2025-03-19T16:11:04.135036,-0.55,0.18,0.24
2025-03-19T16:11:04.648769,-0.37,0.18,0.31
2025-03-19T16:11:05.152265,-0.31,0.12,0.24
2025-03-19T16:11:05.683499,-0.55,0.18,0.24
2025-03-19T16:11:06.098403,-0.49,0.18,0.24
2025-03-19T16:11:06.591768,-0.43,0.18,0.24
2025-03-19T16:11:07.097353,-0.49,0.18,0.31
2025-03-19T16:11:07.611150,-0.43,0.12,0.31
2025-03-19T16:11:08.138497,-0.43,0.18,0.31
2025-03-19T16:11:08.638156,-0.55,0.18,0.24
2025-03-19T16:11:09.159094,-0.49,0.18,0.31
2025-03-19T16:11:09.659350,-0.49,0.18,0.24
2025-03-19T16:11:10.174281,-0.43,0.18,0.31
2025-03-19T16:11:10.691579,-0.55,0.18,0.24
2025-03-19T16:11:11.193400,-0.49,0.18,0.24
2025-03-19T16:11:11.712015,-0.31,0.18,0.31
2025-03-19T16:11:12.221277,-0.61,0.18,0.24
2025-03-19T16:11:12.731274,-0.31,0.18,0.31
2025-03-19T16:11:13.148522,-0.37,0.12,0.31
2025-03-19T16:11:13.651611,-0.49,0.18,0.24
2025-03-19T16:11:14.163820,-0.37,0.18,0.24
2025-03-19T16:11:14.688451,-0.31,0.18,0.31
2025-03-19T16:11:15.212259,-0.43,0.18,0.31
2025-03-19T16:11:16.137013,-0.37,0.24,0.31
2025-03-19T16:11:16.443760,-0.55,0.18,0.31
2025-03-19T16:11:16.740109,-0.31,0.18,0.37
2025-03-19T16:11:17.241825,-0.24,0.24,0.37
2025-03-19T16:11:17.747334,-0.43,0.18,0.37
2025-03-19T16:11:18.259840,-0.55,0.18,0.24
2025-03-19T16:11:18.772255,-0.18,0.12,0.37
2025-03-19T16:11:19.293828,-0.49,0.18,0.24
2025-03-19T16:11:19.802502,-0.49,-0.18,0.37
2025-03-19T16:11:20.308441,-0.37,0.18,0.49
2025-03-19T16:11:20.725384,-2.99,0.0,-0.98
2025-03-19T16:11:21.230025,-0.55,0.37,0.43
2025-03-19T16:11:21.756947,-0.61,0.18,0.24
