x,y,z,timestamp
-0.43,0.18,0.24,1742368397.2787106
-0.43,-0.06,0.18,1742368397.4881725
-0.67,0.31,0.18,1742368397.9973648
-0.49,0.18,0.24,1742368398.5069942
-0.55,0.0,0.18,1742368399.0191948
-1.83,-2.5,0.06,1742368399.522168
-66.1,-48.58,-106.99,1742368400.1352656
200.01,167.24,-142.46,1742368402.1919305
-12.15,0.12,-2.69,1742368402.227711
-0.49,-0.18,0.61,1742368402.3982453
-0.92,-1.71,1.1,1742368402.5187805
-0.12,-1.1,0.18,1742368402.6045094
-0.18,0.24,0.24,1742368403.0125496
-2.14,-0.31,1.04,1742368403.5249522
-0.06,0.43,-0.43,1742368404.035285
2.69,0.61,-0.06,1742368404.5660381
0.73,0.06,0.06,1742368405.1570246
-0.43,-0.06,0.12,1742368405.6759968
-0.55,-0.06,0.24,1742368406.2883787
-0.55,0.12,0.18,1742368406.6262283
-0.18,0.06,0.37,1742368407.1088798
-0.55,0.12,0.24,1742368407.612336
-0.43,-0.06,0.18,1742368408.1313398
-0.37,0.18,0.24,1742368408.6822686
-0.61,0.12,0.24,1742368409.0528443
-0.31,0.06,0.24,1742368409.6682053
-0.85,0.0,0.0,1742368410.1810918
-0.37,-0.18,0.31,1742368412.3295975
-0.18,-0.18,0.24,1742368412.640139
-1.16,0.18,0.06,1742368412.7412286
-0.31,-0.06,0.31,1742368412.8437405
-0.92,0.31,0.18,1742368412.9465578
0.79,0.06,0.49,1742368413.1495621
-0.43,0.31,0.24,1742368414.1737099
-0.61,0.06,0.24,1742368414.2103038
-0.43,0.0,0.24,1742368414.6864936
-0.49,0.12,0.24,1742368415.197226
-0.55,0.06,0.18,1742368416.733795
-0.37,0.12,0.24,1742368416.8380265
-0.43,0.24,0.18,1742368416.9389474
-0.37,0.06,0.31,1742368417.1433675
-0.73,0.06,0.18,1742368417.65448
-0.43,0.06,0.24,1742368418.1667013
-0.24,0.0,0.31,1742368418.6786847
-0.37,0.18,0.24,1742368419.1906629
-0.24,0.06,0.31,1742368419.703446
0.61,-0.31,0.43,1742368420.2145514
-0.06,0.92,0.31,1742368420.7261555
-0.49,0.37,0.24,1742368421.2381914
-0.06,0.12,0.24,1742368421.751543
-0.67,1.28,0.31,1742368422.7747676
-0.67,0.31,0.24,1742368422.878283
-0.85,0.37,0.18,1742368423.1837664
-0.55,0.31,0.24,1742368423.696155
-0.43,0.06,0.24,1742368424.2090526
-0.73,-0.06,0.18,1742368424.7215052
-0.61,0.24,0.18,1742368425.2323837
-0.31,-0.12,0.12,1742368425.7454813
-0.79,0.0,0.06,1742368426.2561512
-0.73,0.06,0.18,1742368426.7690275
-0.24,0.06,0.31,1742368427.279747
-0.85,0.12,0.12,1742368427.792113
-0.49,0.12,0.24,1742368428.3050828
-0.61,-0.24,0.06,1742368428.817419
-0.43,0.12,0.24,1742368429.3303835
-0.37,0.18,0.24,1742368429.8405817
-0.37,0.0,0.31,1742368430.3525653
-0.55,0.0,0.18,1742368430.7612717
-0.61,0.12,0.18,1742368431.2737403
-0.61,0.12,0.18,1742368431.785845
-0.43,0.12,0.31,1742368432.312331
-0.49,0.12,0.24,1742368432.8099434
-0.49,0.12,0.31,1742368433.3234618
-0.49,0.12,0.24,1742368433.8352075
-0.31,0.06,0.24,1742368434.345438
-0.67,0.24,0.24,1742368435.5747786
-0.49,0.12,0.24,1742368435.6805024
-0.61,0.12,0.24,1742368435.8828905
-0.55,0.06,0.24,1742368436.3955324
-0.49,0.18,0.31,1742368436.9079556
-0.55,0.12,0.18,1742368437.4209635
-0.55,0.12,0.24,1742368437.9300814
-0.49,0.18,0.24,1742368438.4420488
-0.61,0.12,0.24,1742368438.8607774
-0.98,-0.06,0.06,1742368439.3637137
-0.37,0.18,0.24,1742368439.9800756
-0.49,0.18,0.18,1742368440.9014215
-0.43,0.12,0.24,1742368441.0051095
-0.43,0.12,0.18,1742368441.4126549
-0.67,-0.18,0.24,1742368441.9229705
-1.16,-0.37,0.43,1742368442.538588
-4.39,-1.16,0.49,1742368443.05141
-1.59,-0.18,1.1,1742368443.4598775
0.67,0.67,0.31,1742368443.9729455
4.03,0.55,-0.55,1742368444.483691
0.73,0.12,0.31,1742368444.9973526
0.06,0.43,0.31,1742368445.5072176
-1.1,0.06,-0.12,1742368445.9210973
-0.12,0.0,0.31,1742368446.429849
0.06,-0.18,0.31,1742368446.9424632
-0.43,0.0,0.24,1742368447.4552479
-0.18,0.18,0.37,1742368447.9665039
-0.55,0.0,0.18,1742368448.4843187
-0.49,0.12,0.24,1742368448.9903553
-0.37,0.12,0.24,1742368449.6033914
-0.49,0.06,0.24,1742368450.1161842
-0.43,0.06,0.24,1742368450.5258584
-0.49,0.12,0.24,1742368451.039396
-0.24,0.06,0.31,1742368451.5529683
-0.12,0.12,0.24,1742368452.0610268
0.92,-0.49,0.49,1742368452.5748515
5.37,0.0,0.06,1742368452.9845152
21.3,18.49,-22.77,1742368453.49857
-37.48,-3.11,23.93,1742368454.415502
-0.31,0.12,-0.55,1742368454.7318008
0.67,-0.18,-0.24,1742368455.0324924
0.06,0.18,0.18,1742368455.5426607
-1.77,0.73,0.73,1742368456.0547829
0.43,-0.31,0.18,1742368456.568564
-0.61,0.31,0.18,1742368457.0805802
-0.61,0.06,0.18,1742368457.591825
-0.43,0.18,0.31,1742368459.640971
-0.43,0.12,0.31,1742368459.7439551
-0.67,0.12,0.18,1742368459.8489196
-0.55,0.12,0.31,1742368459.9500973
-0.73,0.18,0.18,1742368460.0539353
-0.49,0.12,0.24,1742368460.5631435
-0.37,0.12,0.31,1742368461.0730047
-0.37,0.12,0.24,1742368463.3273196
-0.49,0.18,0.24,1742368463.3649013
0.12,-0.06,0.37,1742368463.4279356
-1.28,0.18,0.31,1742368463.4635234
-0.61,0.18,0.12,1742368463.6324058
-0.43,0.12,0.24,1742368464.0984674
-0.55,0.18,0.24,1742368464.6108923
-0.31,0.12,0.24,1742368465.1214046
-0.67,0.12,0.18,1742368465.6354845
-0.55,0.12,0.24,1742368467.580272
-0.24,0.06,0.24,1742368467.65157
-0.73,-0.12,0.18,1742368467.721149
-0.73,0.12,0.24,1742368467.8875434
-0.55,0.18,0.24,1742368468.1944752
-0.85,0.18,0.24,1742368470.756435
-0.61,0.12,0.18,1742368470.9609425
0.98,0.06,0.24,1742368471.02995
-0.24,0.12,0.31,1742368471.099513
0.12,0.18,0.31,1742368471.1392393
-0.43,0.12,0.31,1742368471.2652037
-0.49,0.12,0.24,1742368471.881075
0.0,-0.06,0.37,1742368472.22491
-0.79,0.24,0.18,1742368472.699932
-0.49,0.18,0.31,1742368473.2125618
-0.24,0.12,0.31,1742368473.7226644
-0.73,0.18,0.24,1742368474.2793057
-0.43,0.06,0.24,1742368474.6938968
-0.37,0.18,0.31,1742368475.2062342
-0.73,0.18,0.24,1742368475.6672938
-0.43,0.12,0.31,1742368476.215706
-0.12,0.06,0.31,1742368476.7414796
-0.73,0.18,0.18,1742368477.2517223
-0.49,0.12,0.18,1742368477.7648313
-0.61,0.18,0.18,1742368478.27702
-0.49,0.06,0.24,1742368478.7905512
-0.49,0.18,0.31,1742368479.3000057
-1.65,0.43,-0.06,1742368479.8079834
-0.49,0.0,0.18,1742368480.7626526
-0.61,0.12,0.37,1742368480.8392246
-0.61,0.24,0.31,1742368481.3508673
-0.24,0.06,0.37,1742368481.759747
-0.73,0.31,0.24,1742368482.269247
-0.24,0.06,0.18,1742368482.783928
-0.43,0.12,0.31,1742368483.2925444
-0.61,0.18,0.31,1742368483.804606
-0.12,0.0,0.37,1742368484.3173134
-0.92,0.18,0.12,1742368484.828566
-1.22,0.06,0.18,1742368485.3428469
-1.34,0.24,0.12,1742368485.8526905
-1.04,0.61,0.31,1742368486.3654015
-0.43,0.18,0.43,1742368487.2887523
-0.37,0.12,0.31,1742368487.5937443
-0.61,0.12,0.31,1742368487.902032
-0.49,0.12,0.24,1742368488.4131303
-1.04,0.24,0.06,1742368488.9251564
-0.31,0.18,0.37,1742368489.437369
-0.49,0.12,0.31,1742368489.8467379
-0.73,-0.12,-0.55,1742368490.3584845
-0.55,0.55,0.31,1742368490.8718584
-0.49,0.12,0.31,1742368491.3849375
-0.55,0.49,0.18,1742368491.8942106
0.12,0.18,0.37,1742368492.4101737
0.43,0.55,0.67,1742368495.2759163
-0.85,0.18,0.24,1742368495.582327
-0.37,0.24,0.49,1742368495.6230702
-0.18,0.24,0.12,1742368495.7222016
-0.18,-0.06,0.18,1742368495.8202217
-1.4,0.18,0.0,1742368495.8889687
-0.67,0.06,0.43,1742368495.990332
-0.98,0.31,0.18,1742368496.5041127
-0.55,0.18,0.24,1742368496.9126647
-0.49,0.18,0.31,1742368499.2698996
-1.46,0.24,0.24,1742368499.3142254
0.37,0.0,0.43,1742368499.4053626
-0.06,0.18,0.43,1742368499.4736204
-0.31,0.12,0.31,1742368499.577009
-1.04,0.31,0.12,1742368499.9860334
-0.37,0.06,0.24,1742368500.4995465
-0.24,-0.24,0.43,1742368501.0100503
-0.49,0.18,0.31,1742368501.5207288
-0.67,0.24,0.24,1742368502.0321653
-0.43,0.12,0.31,1742368502.9540215
0.06,0.0,0.37,1742368503.2612207
-0.37,0.06,0.31,1742368503.572399
-0.18,0.24,0.31,1742368503.9796543
-0.49,0.06,0.37,1742368504.489838
-0.12,0.37,0.24,1742368505.0042343
-0.12,0.12,0.31,1742368505.5140033
-0.12,0.0,0.24,1742368506.0260005
0.12,-0.43,0.49,1742368506.5375392
-0.98,0.31,0.06,1742368507.0513275
-0.55,0.12,0.18,1742368507.562007
-0.73,0.06,0.18,1742368508.0735884
-0.67,0.24,0.18,1742368508.5869076
-0.61,0.18,0.37,1742368509.0978642
0.49,0.18,0.43,1742368509.6102219
-1.04,0.24,0.18,1742368510.1231318
-3.17,1.16,0.06,1742368510.6340656
-0.49,0.18,0.37,1742368511.0453606
-0.43,0.18,0.31,1742368511.5561535
-0.49,0.18,0.31,1742368512.069201
-1.28,0.73,0.31,1742368512.5800438
-0.43,0.18,0.31,1742368513.6033413
-0.06,0.24,0.49,1742368513.639884
-0.49,0.18,0.31,1742368514.117195
0.0,-0.18,0.31,1742368514.6290164
-0.49,0.24,0.31,1742368515.1399791
-0.55,0.24,0.31,1742368515.652082
-0.85,0.31,0.18,1742368516.163777
-0.24,0.12,0.37,1742368516.675644
0.24,-0.18,0.24,1742368517.1872654
0.37,0.49,0.61,1742368517.6996515
0.24,-0.12,0.49,1742368518.623216
0.79,0.92,0.73,1742368518.9309769
0.06,-0.37,0.49,1742368519.235626
-1.95,0.49,-0.06,1742368519.645252
-0.37,0.24,0.31,1742368520.1572027
-0.49,0.12,0.24,1742368520.6708837
-0.31,0.12,0.37,1742368521.1809554
-0.31,0.12,0.06,1742368521.696432
-0.12,0.06,0.31,1742368522.207977
0.49,0.06,0.31,1742368522.7246954
-0.67,0.24,0.24,1742368523.229505
0.12,0.55,0.55,1742368523.7489026
0.18,0.24,0.49,1742368524.2572029
-0.37,0.12,0.55,1742368524.7652493
-0.55,0.18,0.31,1742368527.3249848
-0.73,0.31,0.24,1742368527.838138
-1.4,0.37,0.24,1742368527.8778582
-0.43,0.12,0.31,1742368527.9437215
-0.37,0.12,0.31,1742368527.98063
-0.49,0.18,0.31,1742368528.0426478
0.61,0.06,0.43,1742368528.2468133
-0.73,0.49,0.31,1742368528.7589986
-0.37,0.24,0.24,1742368529.2714968
-0.85,0.18,0.24,1742368529.7840064
-0.43,0.12,0.18,1742368530.2978885
-0.37,-0.06,0.24,1742368530.8066232
-0.49,0.18,0.31,1742368531.3185742
-0.49,0.12,0.24,1742368531.8320081
-0.37,0.18,0.37,1742368532.342623
-0.24,0.12,0.37,1742368532.7528172
-0.61,0.24,0.24,1742368533.264478
-0.49,0.18,0.24,1742368534.2883337
-0.31,0.12,0.31,1742368534.596988
-0.49,-0.06,0.12,1742368534.9037416
-0.37,0.06,0.24,1742368535.3132384
-0.37,0.31,0.43,1742368537.654208
-0.73,0.24,0.18,1742368537.6921577
-0.55,0.12,0.37,1742368537.774017
0.55,0.31,0.79,1742368537.8177335
-1.89,0.49,0.37,1742368537.9775693
-0.79,0.49,0.43,1742368538.384359
-1.59,0.24,0.18,1742368538.896382
-1.04,0.12,0.12,1742368539.4101708
-0.24,-0.06,0.24,1742368539.9206815
-0.55,0.12,0.24,1742368540.4360566
-0.37,0.24,0.31,1742368540.8412273
-0.37,0.31,0.06,1742368541.3813176
-1.04,0.18,0.12,1742368541.8671362
-0.49,0.37,0.31,1742368542.379222
-1.89,1.89,-0.24,1742368543.6090086
-0.06,0.31,0.37,1742368543.648246
-0.67,0.0,0.37,1742368543.9144595
-1.59,0.55,0.12,1742368544.4267433
-1.22,0.67,0.06,1742368544.9392605
-0.12,0.18,0.49,1742368545.4504023
-0.37,0.12,0.31,1742368545.9648256
-0.61,-0.06,0.24,1742368546.47408
2.2,-0.61,0.67,1742368546.987675
0.98,0.85,0.73,1742368547.4979007
1.4,-1.83,0.12,1742368547.9089694
-0.49,0.37,0.18,1742368548.4193869
-0.18,0.18,0.37,1742368548.9318967
-1.1,0.31,0.18,1742368549.9551888
-0.06,-0.06,0.31,1742368549.9916565
0.24,-0.12,0.49,1742368550.467615
0.98,0.24,0.79,1742368550.985174
3.36,0.67,1.04,1742368551.4927375
-1.95,0.92,-0.06,1742368552.0174704
-0.12,0.24,0.37,1742368552.5151749
-0.92,-0.31,0.18,1742368553.0291822
-0.43,0.18,0.31,1742368553.5399082
-0.43,0.06,0.18,1742368554.0517478
-0.43,0.12,0.24,1742368554.5652404
-0.55,0.18,0.31,1742368554.973544
-0.67,0.18,0.24,1742368555.485401
-0.61,0.24,0.24,1742368555.9991791
-0.85,0.24,0.31,1742368556.510585
-0.61,0.18,0.31,1742368557.0217798
